height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
61,18.2,18.5,f,r,r
66,19.5,20.5,f,r,r
64,19,19.5,f,l,l
66,19,19.5,f,l,l
65,19.5,19.5,f,r,r
66,23,21,m,r,l
70,17,18,m,r,l
65,21.5,21,f,r,r
69,23.5,22.5,m,r,r
65.5,19,20,f,r,l
67,14.8,15.2,f,r,l
63,17,17,f,r,l
66,16.5,16.5,f,r,r
63.5,17.2,17.7,f,r,l
61,13.5,13.1,f,r,r
63,19.1,20.4,f,l,r
71,20.5,20.2,m,r,r
62,18,18,f,r,r
74,20,19.5,m,r,l
71,21,20,m,r,r
64,18.7,19.2,f,r,r
65,21,20.5,f,r,r
70,22.9,23,m,l,r
71,23,22.5,m,r,r
72,22.5,21.5,m,r,r
69,21.5,22,m,r,r
64,18.2,19.3,f,r,r
60,21,20.5,f,r,r
63,20.5,20.5,f,r,l
60,18.8,18.5,f,r,r
64,18,18,f,r,r
69,19.5,20.7,f,r,l
69,21,22.5,f,r,l
66,21.1,20.9,f,r,r
68,21,22,m,l,r
72,22,21.5,m,r,r
57,18,19,f,r,r
72,20,20,m,r,r
65.5,18.5,20,f,r,r
65,20.5,21,f,r,l
65,21.5,21.5,f,r,l
71,23.5,23.5,m,r,r
74,24,23.5,m,r,l
70,21.5,22,m,r,l
68,19,19.5,m,r,r
67.5,18,18,m,l,r
69,19.9,19.7,f,l,l
60,15.9,15.5,f,r,r
65,19,19.5,f,r,r
68,22,22,f,r,l
67,19.3,19.5,f,r,r
65,20.1,20.9,m,r,r
64,15,15.5,f,r,l
62.5,14,16,f,r,l
61,15,16,f,r,l
72,25,25,m,r,l
64,20,21,f,r,l
69,21,21.2,f,r,l
64,21,21,f,r,r
68,16,16,f,r,r
61,16,17,f,r,r
64,16.5,17.5,f,r,r
67,20,19.9,f,r,l
68,19,18.5,f,r,r
70,23,21,f,l,l
62,19,19.5,f,r,r
64,21,20.8,f,r,l
60,19,18.8,f,r,l
66,20.5,20,m,r,l
74,20.5,20,m,r,l
69,23,23,m,r,l
60,17.5,19,f,r,r
67,19.3,19,f,r,l
63,19,20.5,f,l,l
67,21,21,f,r,r
65,21,20.5,f,r,r
65,21,22,f,r,r
61.5,18,17,f,r,r
62.5,21,20.5,f,r,r
63,15,16,f,r,l
61,17.5,17,f,r,l
66,23,23,f,r,r
62,16.8,16,f,l,l
71,23.4,23.5,m,r,l
64,17.5,18,f,r,l
68,22.1,22,m,r,l
68,21.1,21.8,m,r,r
65,23,22.8,m,r,r
68,23.1,23,m,r,l
66,21.1,21.1,m,r,l
69,21.5,21.5,m,r,r
63,17,17,f,l,r
66,16,15.5,f,r,r
71,21.5,22,f,r,l
68,18,18,f,r,l
67,19.5,19.5,f,r,l
71,22,22,f,r,l
69,20.75,20,m,r,r
67,21.2,21.3,f,r,r
64,19.5,19.5,f,r,l
63,17.8,18,f,r,l
67,21.5,21.2,m,r,l
67,17,17,f,r,r
61,17.5,17.5,f,r,r
70,23,22.5,m,r,r
66,19,19.2,f,l,l
64,18.5,18.5,f,r,l
69,20.8,20.8,f,r,l
64,21,20.8,f,r,l
64,21.1,20.9,f,r,l
58,21.5,21,f,r,r
67,21,20.1,f,r,r
64,20.6,20.4,f,r,r
70,21.2,21.4,m,r,r
64,19.1,19.5,f,r,r
64,18,18.5,f,l,l
69,22.5,22.3,m,r,r
67,23.5,23,f,r,r
64,20.4,21.5,f,r,r
66,20.5,20.3,f,r,l
73,24.7,24.8,m,r,r
68,20,19.7,f,r,r
66,19.5,19.4,f,r,r
65,20.1,20.4,f,r,r
70,25,24.5,m,r,r
70,21.5,22,m,r,r
74,25,25,m,r,r
63,20,20.5,f,r,r
67.5,19.8,18.7,f,l,r
62.5,19,16.5,f,r,r
60,18,19,f,r,l
53,18.5,19,f,r,r
73,22.2,21.5,m,r,r
67.7,21,21.5,f,r,r
52,19,19.5,f,r,l
62,17.5,17.5,f,r,r
65,20.5,20.1,f,r,r
72,23.8,23.6,f,r,r
62.5,18,17.5,f,r,r
68,22.5,21,m,r,r
72,21,20.6,m,r,r
72,20.5,21,m,r,r
67.5,22,22,m,r,l
66.5,16.5,17,f,r,r
72,22,21,m,r,l
72,23.1,23.3,m,r,l
71,20.6,20.7,m,r,r
72,22,22,m,r,r
73,23,23,m,r,l
59,17,17.5,f,r,l
