"","Mean_Temp","Num_Total_Crimes"
"767",57,487
"768",61,516
"769",58,471
"770",53,504
"771",54,502
"772",55,551
"773",56,519
"774",56,486
"775",58,489
"776",55,488
"777",54,434
"778",53,481
"779",50,552
"780",51,512
"781",54,397
"782",57,513
"783",49,454
"784",51,471
"785",54,485
"786",50,481
"787",50,475
"788",51,437
"789",52,486
"790",63,529
"791",68,507
"792",71,504
"793",65,590
"794",56,520
"795",57,416
"796",57,483
"797",57,511
"798",54,478
"799",55,429
"800",53,449
"801",55,517
"802",56,515
"803",63,548
"804",68,479
"805",72,534
"806",71,593
"807",62,554
"808",63,591
"809",57,465
"810",62,534
"811",64,525
"812",62,492
"813",68,590
"814",65,554
"815",63,552
"816",62,489
"817",63,463
"818",60,574
"819",57,529
"820",60,497
"821",63,544
"822",64,564
"823",63,530
"824",65,554
"825",59,478
"826",62,557
"827",63,478
"828",65,633
"829",66,571
"830",68,553
"831",65,506
"832",62,504
"833",66,577
"834",62,552
"835",60,574
"836",60,549
"837",59,530
"838",56,529
"839",56,497
"840",60,530
"841",67,553
"842",63,591
"843",64,551
"844",68,570
"845",70,597
"846",68,574
"847",69,557
"848",64,542
"849",66,623
"850",66,581
"851",65,541
"852",70,562
"853",79,586
"854",72,600
"855",67,649
"856",68,701
"857",72,618
"858",76,564
"859",75,605
"860",75,565
"861",72,555
"862",71,561
"863",74,598
"864",78,591
"865",68,560
"866",73,589
"867",76,576
"868",76,613
"869",71,596
"870",69,585
"871",75,612
"872",66,564
"873",68,538
"874",67,528
"875",64,517
"876",65,510
"877",66,597
"878",71,568
"879",74,600
"880",78,584
"881",76,585
"882",75,578
"883",77,577
"884",78,673
"885",76,664
"886",76,606
"887",79,605
"888",71,623
"889",74,567
"890",70,556
"891",69,561
"892",72,623
"893",79,581
"894",84,552
"895",74,559
"896",71,594
"897",71,594
"898",72,649
"899",74,640
"900",76,598
"901",76,618
"902",74,586
"903",69,585
"904",67,608
"905",71,604
"906",74,593
"907",70,614
"908",75,564
"909",78,569
"910",77,596
"911",72,582
"912",70,631
"913",66,613
"914",68,620
"915",67,527
"916",68,598
"917",64,576
"918",68,578
"919",73,622
"920",76,644
"921",71,556
"922",66,592
"923",67,571
"924",67,552
"925",69,539
"926",68,614
"927",70,632
"928",71,592
"929",72,592
"930",66,563
"931",69,592
"932",67,611
"933",72,642
"934",77,657
"935",74,598
"936",66,614
"937",64,573
"938",63,588
"939",66,565
"940",66,628
"941",64,600
"942",65,611
"943",59,543
"944",59,550
"945",58,550
"946",59,583
"947",64,628
"948",66,610
"949",70,629
"950",71,600
"951",70,611
"952",63,574
"953",64,571
"954",61,578
"955",66,606
"956",58,542
"957",62,505
"958",58,531
"959",57,526
"960",61,569
"961",59,610
"962",64,592
"963",65,556
"964",59,546
"965",58,400
"966",57,515
"967",56,457
"968",53,546
"969",57,603
"970",55,497
"971",54,539
"972",55,478
"973",59,527
"974",59,550
"975",53,615
"976",49,667
"977",50,520
"978",55,497
"979",59,560
"980",58,506
"981",56,529
"982",51,515
"983",50,502
"984",50,425
"985",50,502
"986",41,524
"987",37,464
"988",35,408
"989",37,452
"990",36,437
"991",36,433
"992",37,473
"993",37,489
"994",42,470
"995",41,487
"996",48,499
"997",47,540
"998",50,490
"999",50,491
"1000",59,500
"1001",58,539
"1002",57,376
"1003",50,490
"1004",37,465
"1005",33,405
"1006",33,489
"1007",32,488
"1008",43,482
"1009",39,471
"1010",43,544
"1011",48,532
"1012",44,526
"1013",47,537
"1014",49,478
"1015",51,521
"1016",54,581
"1017",48,587
"1018",45,534
"1019",44,513
"1020",47,526
"1021",45,484
"1022",42,504
"1023",46,522
"1024",48,555
"1025",52,548
"1026",55,530
"1027",50,550
"1028",50,560
"1029",44,469
"1030",46,366
"1031",44,488
"1032",44,496
"1033",44,431
"1034",38,443
"1035",31,472
"1036",29,459
"1037",32,592
"1038",34,465
"1039",38,471
"1040",46,520
"1041",50,534
"1042",43,526
"1043",43,471
"1044",40,483
"1045",44,501
"1046",39,473
"1047",43,472
"1048",45,456
"1049",42,462
"1050",41,447
"1051",37,420
"1052",47,486
"1053",49,492
"1054",54,502
"1055",46,533
"1056",43,436
"1057",40,462
"1058",43,480
"1059",44,516
"1060",52,532
"1061",45,511
"1062",48,531
"1063",46,504
"1064",50,512
"1065",46,536
"1066",43,486
"1067",40,523
"1068",42,506
"1069",51,512
"1070",46,515
"1071",48,556
"1072",48,510
"1073",53,558
"1074",54,480
"1075",52,513
"1076",50,475
"1077",50,524
"1078",49,498
"1079",50,469
"1080",46,496
"1081",52,534
"1082",50,514
"1083",50,499
"1084",53,478
"1085",49,485
"1086",52,493
"1087",51,577
"1088",48,526
"1089",49,503
"1090",46,527
"1091",46,472
"1092",48,506
"1093",51,469
"1094",51,551
"1095",48,576
"1096",44,558
"1097",49,512
"1098",44,490
"1099",45,492
"1100",47,549
"1101",50,499
"1102",51,508
"1103",53,505
"1104",54,549
"1105",51,539
"1106",55,501
"1107",59,559
"1108",58,574
"1109",55,536
"1110",55,599
"1111",52,537
"1112",51,488
"1113",55,507
"1114",53,571
"1115",57,570
"1116",55,528
"1117",51,451
"1118",50,463
"1119",51,502
"1120",54,524
"1121",59,538
"1122",58,518
"1123",55,548
"1124",57,535
"1125",57,525
"1126",49,518
"1127",48,505
"1128",50,562
"1129",45,551
"1130",49,525
"1131",49,445
"1132",48,473
"1133",53,496
"1134",52,530
"1135",54,568
"1136",52,561
"1137",52,575
"1138",51,507
"1139",50,448
"1140",47,521
"1141",48,499
"1142",56,572
"1143",58,647
"1144",60,582
"1145",61,584
"1146",65,565
"1147",54,515
"1148",52,540
"1149",48,498
"1150",51,519
"1151",53,592
"1152",52,511
"1153",67,610
"1154",57,572
"1155",54,558
"1156",58,569
"1157",62,610
"1158",59,614
"1159",61,556
"1160",56,562
"1161",57,558
"1162",55,603
"1163",59,565
"1164",64,656
"1165",67,607
"1166",62,508
"1167",57,544
"1168",54,509
"1169",57,509
"1170",59,547
"1171",57,551
"1172",57,521
"1173",62,573
"1174",65,587
"1175",59,546
"1176",65,561
"1177",66,605
"1178",58,582
"1179",59,569
"1180",61,562
"1181",60,531
"1182",63,622
"1183",67,589
"1184",70,622
"1185",70,631
"1186",65,620
"1187",70,590
"1188",60,560
"1189",59,596
"1190",62,636
"1191",64,608
"1192",71,612
"1193",75,719
"1194",77,596
"1195",77,650
"1196",76,614
"1197",67,611
"1198",66,630
"1199",63,635
"1200",64,606
